source,output,num_pairs,relaxation
/root/autodl-tmp/benchmark_sources/pdptw-data/100/lc101.txt,data/li_lim_relaxed/lc101_relaxed_pdp.pkl,53,single_vehicle_distance_only_ignore_time_windows_capacity_vehicle_count
/root/autodl-tmp/benchmark_sources/pdptw-data/100/lc102.txt,data/li_lim_relaxed/lc102_relaxed_pdp.pkl,53,single_vehicle_distance_only_ignore_time_windows_capacity_vehicle_count
/root/autodl-tmp/benchmark_sources/pdptw-data/100/lc103.txt,data/li_lim_relaxed/lc103_relaxed_pdp.pkl,52,single_vehicle_distance_only_ignore_time_windows_capacity_vehicle_count
/root/autodl-tmp/benchmark_sources/pdptw-data/100/lc104.txt,data/li_lim_relaxed/lc104_relaxed_pdp.pkl,53,single_vehicle_distance_only_ignore_time_windows_capacity_vehicle_count
/root/autodl-tmp/benchmark_sources/pdptw-data/100/lc105.txt,data/li_lim_relaxed/lc105_relaxed_pdp.pkl,53,single_vehicle_distance_only_ignore_time_windows_capacity_vehicle_count
/root/autodl-tmp/benchmark_sources/pdptw-data/100/lc106.txt,data/li_lim_relaxed/lc106_relaxed_pdp.pkl,53,single_vehicle_distance_only_ignore_time_windows_capacity_vehicle_count
/root/autodl-tmp/benchmark_sources/pdptw-data/100/lc107.txt,data/li_lim_relaxed/lc107_relaxed_pdp.pkl,53,single_vehicle_distance_only_ignore_time_windows_capacity_vehicle_count
/root/autodl-tmp/benchmark_sources/pdptw-data/100/lc108.txt,data/li_lim_relaxed/lc108_relaxed_pdp.pkl,53,single_vehicle_distance_only_ignore_time_windows_capacity_vehicle_count
/root/autodl-tmp/benchmark_sources/pdptw-data/100/lc109.txt,data/li_lim_relaxed/lc109_relaxed_pdp.pkl,53,single_vehicle_distance_only_ignore_time_windows_capacity_vehicle_count
/root/autodl-tmp/benchmark_sources/pdptw-data/100/lc201.txt,data/li_lim_relaxed/lc201_relaxed_pdp.pkl,51,single_vehicle_distance_only_ignore_time_windows_capacity_vehicle_count
/root/autodl-tmp/benchmark_sources/pdptw-data/100/lc202.txt,data/li_lim_relaxed/lc202_relaxed_pdp.pkl,51,single_vehicle_distance_only_ignore_time_windows_capacity_vehicle_count
/root/autodl-tmp/benchmark_sources/pdptw-data/100/lc203.txt,data/li_lim_relaxed/lc203_relaxed_pdp.pkl,51,single_vehicle_distance_only_ignore_time_windows_capacity_vehicle_count
/root/autodl-tmp/benchmark_sources/pdptw-data/100/lc204.txt,data/li_lim_relaxed/lc204_relaxed_pdp.pkl,51,single_vehicle_distance_only_ignore_time_windows_capacity_vehicle_count
/root/autodl-tmp/benchmark_sources/pdptw-data/100/lc205.txt,data/li_lim_relaxed/lc205_relaxed_pdp.pkl,51,single_vehicle_distance_only_ignore_time_windows_capacity_vehicle_count
/root/autodl-tmp/benchmark_sources/pdptw-data/100/lc206.txt,data/li_lim_relaxed/lc206_relaxed_pdp.pkl,51,single_vehicle_distance_only_ignore_time_windows_capacity_vehicle_count
/root/autodl-tmp/benchmark_sources/pdptw-data/100/lc207.txt,data/li_lim_relaxed/lc207_relaxed_pdp.pkl,51,single_vehicle_distance_only_ignore_time_windows_capacity_vehicle_count
/root/autodl-tmp/benchmark_sources/pdptw-data/100/lc208.txt,data/li_lim_relaxed/lc208_relaxed_pdp.pkl,51,single_vehicle_distance_only_ignore_time_windows_capacity_vehicle_count
/root/autodl-tmp/benchmark_sources/pdptw-data/100/lr101.txt,data/li_lim_relaxed/lr101_relaxed_pdp.pkl,53,single_vehicle_distance_only_ignore_time_windows_capacity_vehicle_count
/root/autodl-tmp/benchmark_sources/pdptw-data/100/lr102.txt,data/li_lim_relaxed/lr102_relaxed_pdp.pkl,55,single_vehicle_distance_only_ignore_time_windows_capacity_vehicle_count
/root/autodl-tmp/benchmark_sources/pdptw-data/100/lr103.txt,data/li_lim_relaxed/lr103_relaxed_pdp.pkl,52,single_vehicle_distance_only_ignore_time_windows_capacity_vehicle_count
/root/autodl-tmp/benchmark_sources/pdptw-data/100/lr104.txt,data/li_lim_relaxed/lr104_relaxed_pdp.pkl,52,single_vehicle_distance_only_ignore_time_windows_capacity_vehicle_count
/root/autodl-tmp/benchmark_sources/pdptw-data/100/lr105.txt,data/li_lim_relaxed/lr105_relaxed_pdp.pkl,53,single_vehicle_distance_only_ignore_time_windows_capacity_vehicle_count
/root/autodl-tmp/benchmark_sources/pdptw-data/100/lr106.txt,data/li_lim_relaxed/lr106_relaxed_pdp.pkl,52,single_vehicle_distance_only_ignore_time_windows_capacity_vehicle_count
/root/autodl-tmp/benchmark_sources/pdptw-data/100/lr107.txt,data/li_lim_relaxed/lr107_relaxed_pdp.pkl,52,single_vehicle_distance_only_ignore_time_windows_capacity_vehicle_count
/root/autodl-tmp/benchmark_sources/pdptw-data/100/lr108.txt,data/li_lim_relaxed/lr108_relaxed_pdp.pkl,50,single_vehicle_distance_only_ignore_time_windows_capacity_vehicle_count
/root/autodl-tmp/benchmark_sources/pdptw-data/100/lr109.txt,data/li_lim_relaxed/lr109_relaxed_pdp.pkl,53,single_vehicle_distance_only_ignore_time_windows_capacity_vehicle_count
/root/autodl-tmp/benchmark_sources/pdptw-data/100/lr110.txt,data/li_lim_relaxed/lr110_relaxed_pdp.pkl,52,single_vehicle_distance_only_ignore_time_windows_capacity_vehicle_count
/root/autodl-tmp/benchmark_sources/pdptw-data/100/lr111.txt,data/li_lim_relaxed/lr111_relaxed_pdp.pkl,54,single_vehicle_distance_only_ignore_time_windows_capacity_vehicle_count
/root/autodl-tmp/benchmark_sources/pdptw-data/100/lr112.txt,data/li_lim_relaxed/lr112_relaxed_pdp.pkl,53,single_vehicle_distance_only_ignore_time_windows_capacity_vehicle_count
/root/autodl-tmp/benchmark_sources/pdptw-data/100/lr201.txt,data/li_lim_relaxed/lr201_relaxed_pdp.pkl,51,single_vehicle_distance_only_ignore_time_windows_capacity_vehicle_count
